country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollution_range,update_hour,pollution_category
India,Maharashtra,Navi Mumbai,"Sanpada, Navi Mumbai - MPCB",2026-05-31 10:00:00,19.0575752,73.0151367,OZONE,1.0,25.0,4.0,24.0,10,Good
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",2026-05-31 10:00:00,30.379589,76.778328,PM10,40.0,105.0,86.0,65.0,10,Moderate
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",2026-05-31 10:00:00,30.379589,76.778328,NH3,4.0,8.0,6.0,4.0,10,Good
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",2026-05-31 10:00:00,30.379589,76.778328,SO2,15.0,80.0,26.0,65.0,10,Good
India,Maharashtra,Pimpri-Chinchwad,"Bhosari,Pimpri-Chinchwad - IITM",2026-05-31 10:00:00,18.640051,73.848956,PM10,21.0,80.0,54.0,59.0,10,Moderate
India,Maharashtra,Pimpri-Chinchwad,"Bhumkar Nagar, Pimpri-Chinchwad - IITM",2026-05-31 10:00:00,18.60577,73.749976,PM2.5,17.0,59.0,34.0,42.0,10,Good
India,Maharashtra,Pimpri-Chinchwad,"Bhumkar Nagar, Pimpri-Chinchwad - IITM",2026-05-31 10:00:00,18.60577,73.749976,NO2,11.0,25.0,16.0,14.0,10,Good
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",2026-05-31 10:00:00,28.3419248,77.319699,SO2,12.0,13.0,12.0,1.0,10,Good
India,Maharashtra,Pimpri-Chinchwad,"Gavalinagar, Pimpri Chinchwad - MPCB",2026-05-31 10:00:00,18.63673,73.82487,NO2,12.0,13.0,12.0,1.0,10,Good
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",2026-05-31 10:00:00,23.016834,72.625775,NH3,4.0,9.0,5.0,5.0,10,Good
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",2026-05-31 10:00:00,23.016834,72.625775,SO2,12.0,22.0,18.0,10.0,10,Good
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",2026-05-31 10:00:00,23.016834,72.625775,OZONE,4.0,17.0,14.0,13.0,10,Good
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",2026-05-31 10:00:00,23.041137,72.456691,PM10,34.0,148.0,90.0,114.0,10,Moderate
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",2026-05-31 10:00:00,23.041137,72.456691,NH3,1.0,3.0,2.0,2.0,10,Good
